code,created_t,product_name,quantity,product_quantity,serving_size,serving_quantity,brands,categories,labels,emb_codes,ingredients_text,ingredients_tags,nutriscore_grade,nutriscore_score,categories_tags,labels_tags,countries_tags,no_nutrition_data,added-sugars_100g,alcohol_100g,alpha-linolenic-acid_100g,biotin_100g,caffeine_100g,calcium_100g,carbohydrates-total_100g,carbohydrates_100g,cholesterol_100g,choline_100g,chromium_100g,copper_100g,docosahexaenoic-acid_100g,eicosapentaenoic-acid_100g,energy-kcal_100g,energy-kj_100g,energy_100g,fat_100g,fiber_100g,fructose_100g,fruits-vegetables-legumes-estimate-from-ingredients_100g,fruits-vegetables-legumes_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,fruits-vegetables-nuts_100g,glucose_100g,glycemic-index_100g,iodine_100g,iron_100g,magnesium_100g,maltose_100g,manganese_100g,monounsaturated-fat_100g,nova-group_100g,nutrition-score-fr_100g,omega-3-fat_100g,omega-6-fat_100g,pantothenic-acid_100g,phosphorus_100g,polyols_100g,polyunsaturated-fat_100g,potassium_100g,proteins_100g,salt_100g,saturated-fat_100g,selenium_100g,sodium_100g,starch_100g,sucrose_100g,sugars_100g,taurine_100g,trans-fat_100g,vitamin-a_100g,vitamin-b12_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-c_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-pp_100g,zinc_100g
00000193,1652203279,Veganes Protein Vanille,250g,250,15 g,15,volksshake,Beverages,"Organic, Vegetarian, EU Organic, Vegan, EG-Öko-Verordnung",,,,c,4,"en:beverages-and-beverages-preparations,en:beverages","en:organic,en:vegetarian,en:eu-organic,en:vegan,de:eg-öko-verordnung","en:germany,en:ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000194,1617633375,Bio Walnusskerne Achtel kerne,,,100g,100,Biojoy,"Plant-based foods and beverages, Plant-based foods, Nuts and their products, Nuts, Shelled nuts, Walnuts, Walnut kernels","Organic, Vegetarian, EU Organic, Vegan, EG-Öko-Verordnung, BG-BIO-14, EU Agriculture, European Vegetarian Union, European Vegetarian Union Vegan, Made in the EU, No additives",,100% Organic Walnut kernels (Juglans regia),"en:walnut-kernel,en:nut,en:tree-nut,en:walnut,en:juglans-regia",b,-2,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:nuts-and-their-products,en:nuts,en:shelled-nuts,en:walnuts,en:walnut-kernels","en:organic,en:vegetarian,en:eu-organic,en:vegan,de:eg-öko-verordnung,en:bg-bio-14,en:eu-agriculture,en:european-vegetarian-union,en:european-vegetarian-union-vegan,en:made-in-the-eu,en:no-additives",en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000195,1670822850,,480,0,30.0g,30,Pro Fuel,"Compléments alimentaires,Compléments pour le Bodybuilding,Protéines en poudre","végétarien, végétalien, de:laktosefrei, de:proteinquelle, de:proteinreich, nl:vegetarisch",,"Proteinmischung (99,9%) (Sojaproteinisolat, Sonnenblumenprotein, Hanfsamenprotein, Kürbiskernprotein), L-Tryptophan","en:proteins-mix,en:l-tryptophan,en:amino-acids,en:soy-protein-isolate,en:protein,en:plant-protein,en:soy-protein,en:sunflower-protein,de:hanfsamenprotein,de:kürbiskernprotein",not-applicable,,"en:dietary-supplements,en:bodybuilding-supplements,en:protein-powders","en:vegetarian,en:source-of-proteins,en:high-proteins,en:no-lactose,de:végétalien,de:végétarien","en:austria,en:irland,en:deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000197,1566334492,,,,1 bagel,,Bodylab,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads",,,"wheat flour, calcium, iron, niacin, b3, thiamin, b1, wholemeal wheat flour, water, yeast, salt, vinegar, e472e, e481, vegetable oils, rapeseed, sustainable palm, soya flour, calcium propionate, added to inhibit mould growth, ascorbic acid, vitamin c.","en:wheat-flour,en:cereal,en:flour,en:wheat,en:cereal-flour,en:calcium,en:minerals,en:iron,en:e375,en:thiamin,en:vitamins,en:water,en:yeast,en:salt,en:vinegar,en:e472e,en:e481,en:vegetable-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:rapeseed,en:vegetable,en:root-vegetable,en:palm-oil,en:palm-oil-and-fat,en:soya-flour,en:legume,en:pulse,en:soya,en:soya-bean,en:e282,en:added-to-inhibit-mould-growth,en:e300,en:vitamin-c",a,-7,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads",,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000198,1612442040,ChocoMoon,205,0,100.0g,100,Uno,"Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Infusions","sans-gluten, bio, bio-européen, fr-bio-01, cs:bio",,,,unknown,,"en:plant-based-foods-and-beverages,en:beverages,en:hot-beverages,en:plant-based-beverages,en:herbal-teas","en:no-gluten,en:organic,en:eu-organic,en:fr-bio-01",en:turkey,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000199,1618092566,Dibs Crunch Ice Cream Bits,,,0g,0,Nestlé,Ice cream,Glutenfrei,,,,unknown,,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams",en:no-gluten,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000200,1694083758,Bitter Raw Apricot Seeds,200g,200,3 seeds (1.8g),1.8,Miracle Farming,Health,"No gluten, Vegetarian, Vegan",,Air dried bitter raw apricot kernels.,en:air-dried-bitter-raw-apricot-kernels,unknown,,en:health,"en:no-gluten,en:vegetarian,en:vegan","en:germany,en:united-states",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000201,1552067609,Buttermilk pancake & waffle mix,1000ml,1000,,,"Bjorg, Rum dunkel","Beverages and beverages preparations, Beverages","Organic, EU Organic, Non-EU Agriculture, EU Agriculture, EU/non-EU Agriculture, IT-BIO-006, AB Agriculture Biologique",,,,e,28,"en:beverages-and-beverages-preparations,en:beverages","en:organic,en:eu-organic,en:non-eu-agriculture,en:eu-agriculture,en:eu-non-eu-agriculture,en:it-bio-006,fr:ab-agriculture-biologique","en:france,en:germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000202,1655392164,VEGAN BRAIN + BODY BOOST,700ml,700,100.0g,100,"Rum dunkel, Vegan Brain Food","Beverages and beverages preparations, Beverages",No gluten,,"Creatine Monohydrate 5000mg, Taurine 1500mg, Beta alanine 1000mg","en:creatine-monohydrate,en:creatine,en:taurine,en:beta-alanine",unknown,,"en:beverages-and-beverages-preparations,en:beverages",en:no-gluten,"en:germany,en:ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000203,1723712059,Powdered peanut butter - PB2,700ml,700,13.0g,13,Rum dunkel,"Beverages and beverages preparations, Beverages",,,,,unknown,,"en:beverages-and-beverages-preparations,en:beverages",,"en:germany,en:ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000204,1736854059,Bumbu XO,700ml,700,,,Rum dunkel,"Getränke und Getränkezubereitungen, Getränke",,,,,unknown,,"en:beverages-and-beverages-preparations,en:beverages",,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000205,1579948733,Canard à l’orange,700ml,700,,,"Bofrost, Rum dunkel","Boissons et préparations de boissons, Boissons",,,,,unknown,,"en:beverages-and-beverages-preparations,en:beverages",,"en:belgium,en:france,en:germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000206,1714457894,Feta Danish import,700ml,700,,,"Imported, Rum dunkel","Beverages and beverages preparations, Beverages",,,,,unknown,,"en:beverages-and-beverages-preparations,en:beverages",,"en:germany,en:south-africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000207,1658726452,Pickle pork chips,700ml,700,14.0g,14,Rum dunkel,"Beverages and beverages preparations, Beverages",,,,,unknown,,"en:beverages-and-beverages-preparations,en:beverages",,"en:germany,en:ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000208,1544207680,Pistou d'ail des ours,700ml,700,,,Incorrect bar code for product,"Boissons et préparations de boissons, Boissons",,,,,unknown,,"en:beverages-and-beverages-preparations,en:beverages",,"en:france,en:germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000209,1682006890,Whey Protein,,,30.0g,30,Bulk Supplements,,,,,,unknown,,,,en:ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000210,1655409121,Kalogel,,,,,,,Sin gluten,,,,unknown,,,en:no-gluten,en:spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000212,1552328811,yaourt vanille sucré,125 g,125,125g,125,aucune,Produits laitiers,en:organic,,"lait de vache entier pasteurisé. ferments lactiques. arôme naturel de vanille 1,25%. sucre 5%","en:pasteurised-whole-cow-s-milk,en:dairy,en:milk,en:whole-milk,en:cow-s-milk,en:whole-cow-s-milk,en:lactic-ferments,en:ferment,en:microbial-culture,en:natural-vanilla-flavouring,en:flavouring,en:natural-flavouring,en:vanilla-flavouring,en:sugar,en:added-sugar,en:disaccharide",unknown,,en:dairies,en:organic,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
